X,T,k,A,rho_l,rho_g,objective,err_l,err_g,err_int_thickness
0.65,0.37142857141,0.01,0.2,7.80359137,0.31316375,4.153477827405327,0.0006179379884929647,2.517499077321098,1.6353608120957361
0.65,0.37142857141,0.028069859100853373,0.19664247357335699,7.80359137,0.31316375,2.5703274882628326,0.00014498657042144315,2.0702309199800637,0.4999515817123473
0.65,0.37142857141,0.012459623855063644,0.1847345413546735,7.80359137,0.31316375,3.875086200767549,0.0004645648542087891,2.5669290764063613,1.3076925595069788
0.65,0.37142857141,0.045014536476452996,0.2083213391766751,7.80359137,0.31316375,1.7650657981457734,0.0001725752538314893,1.580271989476968,0.18462123341497402
0.65,0.37142857141,0.03788680141011237,0.2477671743471964,7.80359137,0.31316375,1.8170812023388425,0.00020444157426945225,1.50738469546104,0.30949206530353307
0.65,0.37142857141,0.05676985088235246,0.21855419193301479,7.80359137,0.31316375,1.3696511930867226,0.0002268974515919005,1.2962285006670244,0.07319579496810605
0.65,0.37142857141,0.05563897929012577,0.17856176978833235,7.80359137,0.31316375,1.6358398297105963,6.064580156438132e-06,1.5817820724659728,0.054051692664467056
0.65,0.37142857141,0.07717350368414427,0.18253259941637892,7.80359137,0.31316375,1.2568208467242368,0.0001656704075469826,1.1753143247570284,0.08134085155966134
0.65,0.37142857141,0.0849601713613641,0.164203178636035,7.80359137,0.31316375,1.3147206899230743,0.0006816396290193246,1.1873120045269938,0.12672704576706123
0.65,0.37142857141,0.08103020064517175,0.16755741459226098,7.80359137,0.31316375,1.3267753193156648,8.238451829226893e-05,1.2197951572222903,0.10689777757508238
0.65,0.37142857141,0.10114160298264768,0.13264578742003547,7.80359137,0.31316375,1.3936417434298036,6.29227778542528e-05,1.188804957761901,0.20477386289004826
0.65,0.37142857141,0.08380198685048108,0.1565349659707781,7.80359137,0.31316375,1.3858629731148042,0.00014428371551532466,1.2605116310593019,0.12520705833998705
0.65,0.37142857141,0.08250722843620774,0.14804362241782815,7.80359137,0.31316375,1.4722726530380121,1.4833273200210493e-05,1.3523048443421601,0.11995297542265178
0.65,0.37142857141,0.07477873337594397,0.1689857578548072,7.80359137,0.31316375,1.3854829560126252,0.00044779142786173905,1.312343602330252,0.07269156225451141
0.65,0.37142857141,0.0929614115195661,0.15218514821825752,7.80359137,0.31316375,1.3316990791114514,0.0002669822229426651,1.1536057873891283,0.17782630949938039
0.65,0.37142857141,0.07630599468739883,0.18034792746290415,7.80359137,0.31316375,1.2800411572714305,0.00016478453675932081,1.2013492670181813,0.07852710571648984
0.65,0.37142857141,0.072537219346259,0.18493889335213173,7.80359137,0.31316375,1.294474080451072,0.0004262214213269526,1.2342149842216577,0.05983287480808741
0.65,0.37142857141,0.07255249867068948,0.2180897630659958,7.80359137,0.31316375,1.0891203470760762,0.00011477008051163668,1.0413459439104467,0.047659633085118
0.65,0.37142857141,0.06768070849206613,0.2333802608070598,7.80359137,0.31316375,1.0403791366792665,0.0002024251147350388,1.039167800511635,0.0010089110528966217
0.65,0.37142857141,0.0698435666114299,0.23535142683912907,7.80359137,0.31316375,1.0152114579365945,0.0001442226106809485,1.0002777391226307,0.014789496203282937
0.65,0.37142857141,0.06600037366254281,0.24615679261719023,7.80359137,0.31316375,1.0231227282958488,7.346321247334875e-05,1.0110711971795343,0.01197806790384135
0.65,0.37142857141,0.06581529714812188,0.24620081558290274,7.80359137,0.31316375,1.027214851450131,0.00011855858024295894,1.0138245196548235,0.013271773215064541
0.65,0.37142857141,0.06370063211310475,0.2715815534545111,7.80359137,0.31316375,0.9654050617219957,5.115994792604832e-05,0.9508056769745279,0.014548224799541742
0.65,0.37142857141,0.061754815216631904,0.2800218858471581,7.80359137,0.31316375,0.9755922411185758,0.00031498021965593577,0.9501920511166313,0.025085209782288585
