X,T,k,A,rho_l,rho_g,objective,err_l,err_g,err_int_thickness
0.45,0.25714285713,0.01,0.25,8.837838688,0.0393,27.286325778713657,0.0005092765715032202,26.464512953624777,0.821303548517377
0.45,0.25714285713,0.02600654357384398,0.20129546913246538,8.837838688,0.0393,16.120063631092467,0.0004048215377702884,16.033910933341687,0.08574787621300999
0.45,0.25714285713,0.044391825159670245,0.17327541986247405,8.837838688,0.0393,5.389695634015288,2.216443909163744e-06,5.200908552902648,0.1887848646687303
0.45,0.25714285713,0.04441228014596755,0.17646032579653598,8.837838688,0.0393,5.254748359189591,5.24929590893863e-05,5.073252238693431,0.18144362753707027
0.45,0.25714285713,0.05495574218800496,0.20208078997854012,8.837838688,0.0393,0.8929769501141964,0.00016320666219887808,0.6333094534983161,0.2595042899536814
0.45,0.25714285713,0.05384094647381666,0.17442430833413483,8.837838688,0.0393,1.6642336797235169,0.000748185088739492,1.4105555380270376,0.2529299566077398
0.45,0.25714285713,0.06035008304960768,0.22345859637902343,8.837838688,0.0393,0.37909539159038586,0.00031892669598163786,0.07779206377252675,0.30098440112187747
0.45,0.25714285713,0.06437617413619116,0.2258264875551478,8.837838688,0.0393,0.36497842070869185,0.0003362912428885709,0.035492766904466976,0.3291493625613363
0.45,0.25714285713,0.05837024769120859,0.17836471909812557,8.837838688,0.0393,0.6182146702188864,2.70266492123492e-05,0.34143096800068856,0.2767566755689856
0.45,0.25714285713,0.06233529258025009,0.2369040498940968,8.837838688,0.0393,0.34294064851351513,0.0001634311344019325,0.018217577582400526,0.32455963979671265
0.45,0.25714285713,0.07743316746328119,0.2771268099242779,8.837838688,0.0393,0.877269657008909,0.0003469741440658026,0.5168888233696838,0.3600338594951594
0.45,0.25714285713,0.07366020058075656,0.24365164379091875,8.837838688,0.0393,0.7222117237542098,6.824754062348553e-05,0.35380480883989013,0.3683386673736962
0.45,0.25714285713,0.06783323592436512,0.2412758433584667,8.837838688,0.0393,0.5767758399831551,0.00017950078419647387,0.24025966678260235,0.33633667241635623
0.45,0.25714285713,0.08504216608945747,0.22597827063357342,8.837838688,0.0393,0.6435345637401026,0.00020701734783479784,0.2455219000047096,0.3978056463875582
0.45,0.25714285713,0.06709094572522652,0.2601501520487709,8.837838688,0.0393,0.7342672461734758,0.0003301404816047103,0.4012178012736274,0.33271930441824366
0.45,0.25714285713,0.06629371114824026,0.22309292270722453,8.837838688,0.0393,0.3416517666373219,2.3465682153271976e-05,0.005010413152874315,0.3366178878022943
0.45,0.25714285713,0.09096424137634294,0.21077239593282196,8.837838688,0.0393,0.5815069055519663,0.0002439219155379618,0.14379512293041505,0.4374678607060133
0.45,0.25714285713,0.07193162375494012,0.25808008642681535,8.837838688,0.0393,0.8232676992946615,0.00020453546170271373,0.4387796284588238,0.384283535374135
0.45,0.25714285713,0.062322219855239086,0.1961456124739105,8.837838688,0.0393,0.49962490594523645,6.641310304759726e-05,0.19087092840034547,0.3086875644418434
0.45,0.25714285713,0.06555882216332304,0.23141630094274113,8.837838688,0.0393,0.415023172464559,0.00015490639507868703,0.060720485737002186,0.3541477803324781
0.45,0.25714285713,0.06905564521941339,0.21704070874533632,8.837838688,0.0393,0.3657302723688076,4.515520878583324e-05,0.021155722571996594,0.3445293945880252
0.45,0.25714285713,0.05567164807465172,0.22399027439116517,8.837838688,0.0393,0.5485191824244295,0.00046039420551043293,0.28244426641755427,0.26561452180136486
0.45,0.25714285713,0.06349264535640063,0.23324014533742576,8.837838688,0.0393,0.3297282696651537,9.835389848659295e-05,0.01324142390535074,0.31638849186131635
0.45,0.25714285713,0.049861779033277195,0.25257533074877125,8.837838688,0.0393,1.2072213725045284,0.0004637393563841115,1.0080918574151192,0.19866577573302494
