X,T,k,A,rho_l,rho_g,objective,err_l,err_g,err_int_thickness
0.75,0.42857142855,0.02,0.26,7.148238315,0.620231522,2.105711570202402,0.0017034100156110555,0.7961343723873476,1.3078737877994435
0.75,0.42857142855,0.03653436163831723,0.2668111948328033,7.148238315,0.620231522,1.3453953804959835,0.0012181836792854834,0.6751794189814799,0.668997777835218
0.75,0.42857142855,0.05339281141094454,0.25970065916665247,7.148238315,0.620231522,0.9460410110045501,0.0008352858004693184,0.5660199539454799,0.3791857712586008
0.75,0.42857142855,0.07514896565990142,0.2587145028387847,7.148238315,0.620231522,0.6055410706870655,0.0008154071301056917,0.4463585151228275,0.15836714843413233
0.75,0.42857142855,0.06006776966844102,0.28700831586150927,7.148238315,0.620231522,0.7897102583757634,0.001018863320068985,0.48800785879024083,0.30068353626545347
0.75,0.42857142855,0.06867027980989601,0.2957445343911782,7.148238315,0.620231522,0.6566507037610854,0.0009868439852550896,0.43198752966305154,0.22367633011277874
0.75,0.42857142855,0.06901860223760815,0.27266803550776686,7.148238315,0.620231522,0.6541286319719504,0.000929275889537607,0.45856973485131225,0.19462962123110045
0.75,0.42857142855,0.0871302580656588,0.22853339351861718,7.148238315,0.620231522,0.5043772413836186,0.0004802714257202539,0.439165286291606,0.06473168366629238
0.75,0.42857142855,0.09466451779556595,0.23234888633821824,7.148238315,0.620231522,0.4260228750686662,0.00044905257427670596,0.40188659962602225,0.023687222868367285
0.75,0.42857142855,0.09375410431293911,0.26142235012798704,7.148238315,0.620231522,0.41620931241755726,0.0006266264685987671,0.3665466472250584,0.049036038723900076
0.75,0.42857142855,0.1176682396567414,0.3095786772040582,7.148238315,0.620231522,0.307104397692355,0.0010093909335198742,0.2580082806104045,0.04808672614843061
0.75,0.42857142855,0.12076569367443883,0.3350075379463127,7.148238315,0.620231522,0.30286774255845783,0.0011959035588108146,0.24321176152696758,0.05846007747267947
0.75,0.42857142855,0.12439741465041246,0.33821671013262516,7.148238315,0.620231522,0.3063015237726199,0.0010649578208114885,0.2365176794078724,0.06871888654393601
0.75,0.42857142855,0.1286419297997825,0.3467972883143646,7.148238315,0.620231522,0.313158268712269,0.0012950300828388321,0.22884827191693094,0.08301496671249922
0.75,0.42857142855,0.1238039286377729,0.34397851309630045,7.148238315,0.620231522,0.3058462868308325,0.0010965102069926812,0.23638294631384063,0.06836683030999921
0.75,0.42857142855,0.14290538186292162,0.3713205862511,7.148238315,0.620231522,0.3279536867200127,0.0014567944305965326,0.2120648721493949,0.11443202014002125
0.75,0.42857142855,0.11782683465763878,0.339142642252249,7.148238315,0.620231522,0.29923373391971975,0.0010530172772038066,0.2478342021995271,0.05034651444298888
0.75,0.42857142855,0.11303367510637381,0.3275024708465157,7.148238315,0.620231522,0.29932633365246336,0.0011247939527449554,0.2613336509761545,0.03686788872356388
0.75,0.42857142855,0.11302159923523802,0.3221262689213377,7.148238315,0.620231522,0.3025227809881382,0.0010570196940555435,0.2634525739364303,0.038013187357652356
0.75,0.42857142855,0.10984010894450127,0.35837325824909333,7.148238315,0.620231522,0.26206553102096847,0.0012630107480249369,0.25962469333623506,0.0011778269367084704
0.75,0.42857142855,0.10681500209916077,0.3609698185626936,7.148238315,0.620231522,0.28337996366781654,0.001208110930208612,0.2656112825607069,0.016560570176901025
0.75,0.42857142855,0.10713050613272893,0.3635453939016309,7.148238315,0.620231522,0.2826839807143004,0.0012077106885234384,0.2643970510035803,0.017079219022196668
0.75,0.42857142855,0.10441411777342721,0.3645003216135534,7.148238315,0.620231522,0.3007363428920371,0.0013508637979205622,0.2699637765420144,0.029421702552102146
0.75,0.42857142855,0.10620696015506965,0.39639540652456473,7.148238315,0.620231522,0.2841797507137074,0.0014512577539516297,0.26181703718370075,0.02091145577605502
