temp,k,A,kappa,rho_l_pred,rho_g_pred,rho_l_calc,rho_g_calc,p_l,p_g,delta_p,radius,sigma,interface,spurious_current
0.8,0.18320999999999998,-0.29867199063301086,-1.0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.98727026703007,1.7873805920499605e-06,5.388845528059203,0.06541734
0.8,0.18320999999999998,-0.29867199063301086,-1.0,6.7644704,0.838834226,6.8199406,0.87864465,0.3524865,0.2965483,0.055938184,28.499061564079824,1.5941857570462574,4.113992574908565,0.0058629126
0.8,0.18320999999999998,-0.29867199063301086,-0.5,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.9869511838189,1.7873615732085049e-06,5.389357718563577,0.06441374
0.8,0.18320999999999998,-0.29867199063301086,-0.5,6.7644704,0.838834226,6.8081937,0.8855131,0.33831316,0.29806492,0.040248245,28.2703128129034,1.1378304763441005,4.2554464858579415,0.003972539
0.8,0.18320999999999998,-0.29867199063301086,0.0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.986631930863528,1.7873425442495065e-06,5.3898700647503865,0.0634106
0.8,0.18320999999999998,-0.29867199063301086,0.0,6.7644704,0.838834226,6.7968106,0.89319724,0.3247942,0.29974744,0.025046766,27.97073223175197,0.7005763795832189,4.291747937575426,0.0020836417
0.8,0.18320999999999998,-0.29867199063301086,0.5,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.986311969192975,1.7873234730477914e-06,5.390380694783225,0.062407974
0.8,0.18320999999999998,-0.29867199063301086,0.5,6.7644704,0.838834226,6.785695,0.9015552,0.3117944,0.30156052,0.010233879,27.64696708869507,0.28293571837309534,4.291959343460903,0.0003752579
0.8,0.18320999999999998,-0.29867199063301086,1.0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.985991354330064,1.787304362912778e-06,5.390890789691227,0.061431102
0.8,0.18320999999999998,-0.29867199063301086,1.0,6.7644704,0.838834226,6.7747912,0.91064185,0.2992359,0.30351156,-0.00427565,27.129828034679882,0.1159976434305733,4.440814167018509,0.0011153925
0.8,0.16,-0.11569999903440475,0.0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.988756360905917,1.7874691701475332e-06,5.396388205598228,0.061725054
0.8,0.16,-0.11569999903440475,0.0,6.7644704,0.838834226,6.7847557,0.8369767,0.31070563,0.28709015,0.02361548,29.923113168194604,0.7066486646810197,4.379370125888297,0.0016571766
0.8,0.16,-0.07999999821186066,0.5,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.98874311943738,1.7874683808945048e-06,5.396962545409188,0.06090588
0.8,0.16,-0.07999999821186066,0.5,6.7644704,0.838834226,6.7727823,0.8341029,0.29694334,0.2864215,0.010521829,29.99435410843076,0.31559546874159317,4.4474059436410265,0.0003476973
0.8,0.16,-0.03200000151991844,1.0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.988839653971255,1.787474134801105e-06,5.397548635394358,0.060128994
0.8,0.16,-0.03200000151991844,1.0,6.7644704,0.838834226,6.760945,0.82709944,0.28355774,0.28478315,-0.0012254119,30.091944213735555,0.03687502629102404,4.458217020993871,0.0009071178
0.8,0.18320999999999998,-0.29867199063301086,0.0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.986631930863528,1.7873425442495065e-06,5.3898700647503865,0.0634106
0.8,0.18320999999999998,-0.29867199063301086,0.0,6.7644704,0.838834226,6.796797,0.8931853,0.32477775,0.29974484,0.025032908,27.989358309009273,0.7006550238140515,4.289572674587216,0.0020896029
0.8,0.18320999999999998,-0.29867199063301086,0.5,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.986311969192975,1.7873234730477914e-06,5.390380694783225,0.062407974
0.8,0.18320999999999998,-0.29867199063301086,0.5,6.7644704,0.838834226,6.7856913,0.90153635,0.31179088,0.30155647,0.0102344155,27.656019729924306,0.28304319785396176,4.36610415215333,0.00040459348
0.8,0.18320999999999998,-0.29867199063301086,1.0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.985991354330064,1.787304362912778e-06,5.390890789691227,0.061431102
0.8,0.18320999999999998,-0.29867199063301086,1.0,6.7644704,0.838834226,6.774793,0.9106178,0.2992377,0.30350646,-0.0042687654,27.14176405732617,0.11586182464704428,4.419352486138553,0.0011251199
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.992548286678467,1.7876951865362207e-06,5.431661290300443,0.05211064
