RK,1/R,P,Vapor Density,Liquid Density,Spurious currents,k,A,P,Vapor Density,Liquid Density,Spurious currents,k,A,P,Vapor Density,Liquid Density,Spurious currents,k,A,"width = 3, 200 x 200","S = (0, 0.5, 1.0, 0.0, 1.0, 0.0, 1.0,  1.0, 1.0)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
25,0.04,0.02668892592,0.3425637186,6.679419041,0.0006703950348,0.16,-0.18,0.01187517866,0.3427190185,6.649757385,0.0005566535401,0.16,-0.12,0.0009853094816,0.3430915773,6.62321949,0.0008218531148,0.16,-0.064,,
30,0.03333333333,0.02240938321,0.3431261778,6.671056747,0.0006798603572,0.16,-0.2,0.009904421866,0.3426856399,6.64572525,0.0005601313314,0.16,-0.147,0.0008210912347,0.3427438438,6.622794628,0.0009147474775,0.16,-0.097,,
35,0.02857142857,0.01927925274,0.3426027894,6.664699554,0.0006829530466,0.16,-0.211,0.008495654911,0.3425140977,6.642800331,0.0005562871811,0.16,-0.166,0.0007037924869,0.3429774642,6.622745991,0.001598277246,0.16,-0.122,,
40,0.025,0.01692893356,0.3427142799,6.659999847,0.0006934520788,0.16,-0.221,0.007437050343,0.3428564668,6.640692234,0.0005455864011,0.16,-0.182,0.000615818426,0.3429069221,6.622839928,0.00290116528,0.16,-0.139,,
45,0.02222222222,0.01509065926,0.3425795436,6.656259537,0.0006954378332,0.16,-0.228,0.006610631943,0.3429639637,6.639011383,0.0005403204123,0.16,-0.194,0.0005473941564,0.3426724672,6.623055458,0.00504076248,0.16,-0.15,,
50,0.02,0.01361002773,0.3425800502,6.653259754,0.0006874985411,0.16,-0.234,0.005955867469,0.3428600729,6.637636662,0.0005358904018,0.16,-0.203,0.0004926547408,0.3431586027,6.6235466,0.007861319929,0.16,-0.16,,
